id,label,sample_type,frame_count,landmarks,created_at
"1","A","STATIC","1","0.837956,0.581461,-0.000001,0.761090,0.487176,-0.036483,0.663538,0.423274,-0.039081,0.558629,0.380089,-0.041649,0.520879,0.327696,-0.030852,0.565060,0.456393,0.038398,0.470895,0.464246,-0.014783,0.553441,0.491519,-0.043574,0.611144,0.493109,-0.049349,0.559709,0.513653,0.047391,0.468971,0.523295,-0.009567,0.582732,0.545182,-0.020811,0.630736,0.532063,-0.008992,0.562602,0.566390,0.042704,0.484116,0.573061,-0.011484,0.585755,0.586294,0.004497,0.636329,0.573996,0.035692,0.572898,0.616988,0.034036,0.508609,0.622681,0.014008,0.575427,0.624878,0.034599,0.617903,0.611746,0.062071","1781391633405"
"2","A","STATIC","1","0.802804,0.609547,-0.000001,0.768792,0.519788,-0.055611,0.637734,0.439545,-0.063629,0.533231,0.395676,-0.067586,0.506647,0.341713,-0.057068,0.528409,0.480439,-0.004045,0.428153,0.492142,-0.064054,0.520200,0.517601,-0.081919,0.573220,0.512792,-0.081985,0.528116,0.540397,0.006907,0.439132,0.558991,-0.064187,0.561061,0.571033,-0.061986,0.597573,0.550437,-0.037137,0.539220,0.594162,0.002619,0.479335,0.617099,-0.070380,0.588883,0.615905,-0.044844,0.617236,0.590911,-0.004485,0.556096,0.645504,-0.007016,0.518299,0.663475,-0.048229,0.596758,0.656377,-0.032566,0.623064,0.634905,-0.006745","1781394031172"
"3","A","STATIC","1","0.691143,0.570088,-0.000001,0.636657,0.504573,-0.075646,0.534579,0.451096,-0.106212,0.431914,0.403457,-0.128367,0.374389,0.349807,-0.136465,0.413380,0.472675,-0.030054,0.344707,0.505307,-0.103494,0.433867,0.526266,-0.138007,0.491180,0.520671,-0.146953,0.413577,0.531249,-0.010310,0.344413,0.564252,-0.087851,0.459250,0.570810,-0.096151,0.501369,0.550202,-0.080339,0.427280,0.584787,-0.006227,0.370383,0.614260,-0.080495,0.467297,0.608667,-0.061160,0.505819,0.583006,-0.025871,0.450756,0.629879,-0.008918,0.413706,0.655243,-0.050084,0.476969,0.642052,-0.036624,0.504922,0.615405,-0.011938","1781401353981"
"4","A","STATIC","1","0.683452,0.568754,-0.000001,0.631586,0.503731,-0.076839,0.528879,0.450361,-0.107384,0.426455,0.402804,-0.128895,0.369378,0.349117,-0.136166,0.407841,0.472778,-0.036285,0.338722,0.506226,-0.110610,0.429476,0.526453,-0.144439,0.485069,0.520126,-0.152945,0.409072,0.531218,-0.016334,0.341033,0.565101,-0.093655,0.455015,0.570260,-0.100718,0.494328,0.548823,-0.084725,0.423118,0.584156,-0.011959,0.367616,0.613940,-0.085944,0.464741,0.607617,-0.065760,0.500076,0.581048,-0.030518,0.446909,0.628634,-0.014480,0.410523,0.654602,-0.054949,0.474593,0.641115,-0.040841,0.502284,0.614442,-0.016215","1781401354161"
"5","A","STATIC","1","0.679319,0.567084,-0.000001,0.629569,0.502201,-0.076928,0.524070,0.446557,-0.107828,0.421704,0.397732,-0.130197,0.363879,0.344886,-0.139086,0.403942,0.470250,-0.035507,0.334333,0.502196,-0.107913,0.424681,0.522705,-0.139902,0.483007,0.517243,-0.147211,0.403866,0.529435,-0.015915,0.335815,0.562276,-0.093312,0.450507,0.567168,-0.099965,0.493596,0.546532,-0.082739,0.417879,0.582941,-0.011805,0.362077,0.612221,-0.086222,0.460216,0.605285,-0.066248,0.498042,0.580497,-0.030400,0.441017,0.629324,-0.014492,0.405901,0.653134,-0.056686,0.469554,0.639883,-0.043571,0.496486,0.614971,-0.018948","1781401354301"
"6","A","STATIC","1","0.678877,0.564997,-0.000001,0.630087,0.499923,-0.076384,0.523100,0.445634,-0.107344,0.422572,0.398041,-0.130316,0.364619,0.345534,-0.140487,0.403461,0.470740,-0.033664,0.336073,0.501698,-0.107500,0.426529,0.523542,-0.141171,0.486964,0.519234,-0.149382,0.402492,0.530147,-0.015126,0.334671,0.562547,-0.094718,0.448632,0.568763,-0.103564,0.494357,0.549286,-0.086853,0.416846,0.584188,-0.012141,0.361699,0.613937,-0.088626,0.459723,0.606742,-0.070691,0.498047,0.582110,-0.035350,0.440770,0.631115,-0.015790,0.406187,0.654597,-0.060226,0.470240,0.640854,-0.048402,0.496899,0.616068,-0.024027","1781401354431"
"7","A","STATIC","1","0.681490,0.565615,-0.000001,0.631689,0.500259,-0.072652,0.525183,0.446667,-0.102757,0.426309,0.399815,-0.126135,0.370258,0.347187,-0.137782,0.408668,0.473042,-0.029076,0.341384,0.502474,-0.101893,0.428502,0.524179,-0.135793,0.490386,0.520840,-0.144196,0.408103,0.532233,-0.012333,0.339471,0.563794,-0.092022,0.451293,0.570136,-0.102596,0.500022,0.551658,-0.086624,0.422606,0.585590,-0.010684,0.367636,0.615659,-0.087091,0.463753,0.608358,-0.071024,0.503419,0.584245,-0.036534,0.446303,0.632329,-0.015232,0.411248,0.656150,-0.059926,0.475120,0.642359,-0.048845,0.502688,0.617398,-0.024806","1781401354574"
"8","A","STATIC","1","0.679684,0.565308,-0.000001,0.632257,0.499178,-0.075530,0.527538,0.445239,-0.106332,0.426045,0.398476,-0.129141,0.367486,0.346275,-0.139061,0.410243,0.469608,-0.035560,0.339530,0.498498,-0.107963,0.429552,0.519080,-0.139138,0.488215,0.515308,-0.145700,0.409612,0.527386,-0.017317,0.338559,0.557645,-0.095350,0.452385,0.563053,-0.101931,0.497257,0.544500,-0.084186,0.423689,0.580341,-0.014349,0.366762,0.607909,-0.090226,0.465108,0.600029,-0.070358,0.503621,0.576640,-0.033871,0.447146,0.627156,-0.017784,0.408199,0.648777,-0.061516,0.473414,0.634854,-0.047967,0.502568,0.611887,-0.022636","1781401354714"
"9","A","STATIC","1","0.675196,0.560878,-0.000001,0.627675,0.495949,-0.070397,0.525422,0.441889,-0.097959,0.423751,0.396718,-0.117427,0.370926,0.345391,-0.124042,0.413932,0.468237,-0.035724,0.341412,0.494219,-0.102745,0.428654,0.512609,-0.130194,0.482059,0.506749,-0.135717,0.414139,0.523714,-0.018742,0.340480,0.550915,-0.092195,0.451178,0.556145,-0.096534,0.493954,0.537488,-0.078996,0.427632,0.574733,-0.015726,0.368156,0.600004,-0.087032,0.463993,0.592176,-0.066023,0.500692,0.568567,-0.030596,0.449808,0.620165,-0.018665,0.410510,0.641056,-0.059111,0.474719,0.626853,-0.044823,0.503497,0.603173,-0.020395","1781401354842"
"10","A","STATIC","1","0.668203,0.553849,-0.000001,0.616910,0.489506,-0.066435,0.520600,0.435921,-0.091462,0.420948,0.391507,-0.108534,0.367045,0.343081,-0.112620,0.410652,0.460004,-0.030939,0.340521,0.487552,-0.093098,0.426675,0.505333,-0.119286,0.475098,0.499587,-0.125392,0.411502,0.513841,-0.014656,0.339211,0.541328,-0.082937,0.448821,0.545279,-0.087271,0.489229,0.527172,-0.071595,0.425822,0.563571,-0.011564,0.366893,0.587645,-0.077695,0.460915,0.579197,-0.057171,0.496388,0.556579,-0.023698,0.449445,0.607438,-0.014206,0.409599,0.627464,-0.050586,0.469755,0.611758,-0.036009,0.496948,0.588609,-0.012495","1781401354971"
